snapshot_date,company_name,ticker,status,snapshot_file,error
2026-08-02,Alphabet Inc. (Class A),GOOGL,completed,/mnt/primary/finnhub_snapshots/2026-08-02/GOOGL_snapshot.json,
2026-08-02,AT&T,T,completed,/mnt/primary/finnhub_snapshots/2026-08-02/T_snapshot.json,
2026-08-02,Electronic Arts,EA,completed,/mnt/primary/finnhub_snapshots/2026-08-02/EA_snapshot.json,
2026-08-02,Meta Platforms,META,completed,/mnt/primary/finnhub_snapshots/2026-08-02/META_snapshot.json,
2026-08-02,Netflix,NFLX,completed,/mnt/primary/finnhub_snapshots/2026-08-02/NFLX_snapshot.json,
2026-08-02,Omnicom Group,OMC,completed,/mnt/primary/finnhub_snapshots/2026-08-02/OMC_snapshot.json,
2026-08-02,Take-Two Interactive,TTWO,completed,/mnt/primary/finnhub_snapshots/2026-08-02/TTWO_snapshot.json,
2026-08-02,Walt Disney Company (The),DIS,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DIS_snapshot.json,
2026-08-02,Warner Bros. Discovery,WBD,completed,/mnt/primary/finnhub_snapshots/2026-08-02/WBD_snapshot.json,
2026-08-02,Airbnb,ABNB,completed,/mnt/primary/finnhub_snapshots/2026-08-02/ABNB_snapshot.json,
2026-08-02,Amazon,AMZN,completed,/mnt/primary/finnhub_snapshots/2026-08-02/AMZN_snapshot.json,
2026-08-02,Booking Holdings,BKNG,completed,/mnt/primary/finnhub_snapshots/2026-08-02/BKNG_snapshot.json,
2026-08-02,DoorDash,DASH,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DASH_snapshot.json,
2026-08-02,"Nike, Inc.",NKE,completed,/mnt/primary/finnhub_snapshots/2026-08-02/NKE_snapshot.json,
2026-08-02,Ralph Lauren Corporation,RL,completed,/mnt/primary/finnhub_snapshots/2026-08-02/RL_snapshot.json,
2026-08-02,Starbucks,SBUX,completed,/mnt/primary/finnhub_snapshots/2026-08-02/SBUX_snapshot.json,
2026-08-02,"Tapestry, Inc.",TPR,completed,/mnt/primary/finnhub_snapshots/2026-08-02/TPR_snapshot.json,
2026-08-02,"Tesla, Inc.",TSLA,completed,/mnt/primary/finnhub_snapshots/2026-08-02/TSLA_snapshot.json,
2026-08-02,Casey's,CASY,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CASY_snapshot.json,
2026-08-02,Coca-Cola Company (The),KO,completed,/mnt/primary/finnhub_snapshots/2026-08-02/KO_snapshot.json,
2026-08-02,Colgate-Palmolive,CL,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CL_snapshot.json,
2026-08-02,Costco,COST,completed,/mnt/primary/finnhub_snapshots/2026-08-02/COST_snapshot.json,
2026-08-02,Dollar General,DG,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DG_snapshot.json,
2026-08-02,General Mills,GIS,completed,/mnt/primary/finnhub_snapshots/2026-08-02/GIS_snapshot.json,
2026-08-02,PepsiCo,PEP,completed,/mnt/primary/finnhub_snapshots/2026-08-02/PEP_snapshot.json,
2026-08-02,Target Corporation,TGT,completed,/mnt/primary/finnhub_snapshots/2026-08-02/TGT_snapshot.json,
2026-08-02,Walmart,WMT,completed,/mnt/primary/finnhub_snapshots/2026-08-02/WMT_snapshot.json,
2026-08-02,APA Corporation,APA,completed,/mnt/primary/finnhub_snapshots/2026-08-02/APA_snapshot.json,
2026-08-02,Baker Hughes,BKR,completed,/mnt/primary/finnhub_snapshots/2026-08-02/BKR_snapshot.json,
2026-08-02,Chevron Corporation,CVX,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CVX_snapshot.json,
2026-08-02,ConocoPhillips,COP,completed,/mnt/primary/finnhub_snapshots/2026-08-02/COP_snapshot.json,
2026-08-02,Devon Energy,DVN,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DVN_snapshot.json,
2026-08-02,Diamondback Energy,FANG,completed,/mnt/primary/finnhub_snapshots/2026-08-02/FANG_snapshot.json,
2026-08-02,EOG Resources,EOG,completed,/mnt/primary/finnhub_snapshots/2026-08-02/EOG_snapshot.json,
2026-08-02,Expand Energy,EXE,completed,/mnt/primary/finnhub_snapshots/2026-08-02/EXE_snapshot.json,
2026-08-02,Williams Companies,WMB,completed,/mnt/primary/finnhub_snapshots/2026-08-02/WMB_snapshot.json,
2026-08-02,Aflac,AFL,completed,/mnt/primary/finnhub_snapshots/2026-08-02/AFL_snapshot.json,
2026-08-02,American Express,AXP,completed,/mnt/primary/finnhub_snapshots/2026-08-02/AXP_snapshot.json,
2026-08-02,American International Group,AIG,completed,/mnt/primary/finnhub_snapshots/2026-08-02/AIG_snapshot.json,
2026-08-02,Apollo Global Management,APO,completed,/mnt/primary/finnhub_snapshots/2026-08-02/APO_snapshot.json,
2026-08-02,Goldman Sachs,GS,completed,/mnt/primary/finnhub_snapshots/2026-08-02/GS_snapshot.json,
2026-08-02,JPMorgan Chase,JPM,completed,/mnt/primary/finnhub_snapshots/2026-08-02/JPM_snapshot.json,
2026-08-02,PayPal,PYPL,completed,/mnt/primary/finnhub_snapshots/2026-08-02/PYPL_snapshot.json,
2026-08-02,Visa Inc.,V,completed,/mnt/primary/finnhub_snapshots/2026-08-02/V_snapshot.json,
2026-08-02,Wells Fargo,WFC,completed,/mnt/primary/finnhub_snapshots/2026-08-02/WFC_snapshot.json,
2026-08-02,Cigna,CI,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CI_snapshot.json,
2026-08-02,Cooper Companies (The),COO,completed,/mnt/primary/finnhub_snapshots/2026-08-02/COO_snapshot.json,
2026-08-02,CVS Health,CVS,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CVS_snapshot.json,
2026-08-02,Danaher Corporation,DHR,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DHR_snapshot.json,
2026-08-02,DaVita,DVA,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DVA_snapshot.json,
2026-08-02,Dexcom,DXCM,completed,/mnt/primary/finnhub_snapshots/2026-08-02/DXCM_snapshot.json,
2026-08-02,Edwards Lifesciences,EW,completed,/mnt/primary/finnhub_snapshots/2026-08-02/EW_snapshot.json,
2026-08-02,GE HealthCare,GEHC,completed,/mnt/primary/finnhub_snapshots/2026-08-02/GEHC_snapshot.json,
2026-08-02,Gilead Sciences,GILD,completed,/mnt/primary/finnhub_snapshots/2026-08-02/GILD_snapshot.json,
2026-08-02,3M,MMM,completed,/mnt/primary/finnhub_snapshots/2026-08-02/MMM_snapshot.json,
2026-08-02,A. O. Smith,AOS,completed,/mnt/primary/finnhub_snapshots/2026-08-02/AOS_snapshot.json,
2026-08-02,Boeing,BA,completed,/mnt/primary/finnhub_snapshots/2026-08-02/BA_snapshot.json,
2026-08-02,Broadridge Financial Solutions,BR,completed,/mnt/primary/finnhub_snapshots/2026-08-02/BR_snapshot.json,
2026-08-02,C.H. Robinson,CHRW,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CHRW_snapshot.json,
2026-08-02,Carrier Global,CARR,completed,/mnt/primary/finnhub_snapshots/2026-08-02/CARR_snapshot.json,
