snapshot_date,company_name,ticker,status,snapshot_file,error
2026-08-25,Alphabet Inc. (Class A),GOOGL,completed,/mnt/primary/finnhub_snapshots/2026-08-25/GOOGL_snapshot.json,
2026-08-25,AT&T,T,completed,/mnt/primary/finnhub_snapshots/2026-08-25/T_snapshot.json,
2026-08-25,Electronic Arts,EA,completed,/mnt/primary/finnhub_snapshots/2026-08-25/EA_snapshot.json,
2026-08-25,Meta Platforms,META,completed,/mnt/primary/finnhub_snapshots/2026-08-25/META_snapshot.json,
2026-08-25,Netflix,NFLX,completed,/mnt/primary/finnhub_snapshots/2026-08-25/NFLX_snapshot.json,
2026-08-25,Omnicom Group,OMC,completed,/mnt/primary/finnhub_snapshots/2026-08-25/OMC_snapshot.json,
2026-08-25,Take-Two Interactive,TTWO,completed,/mnt/primary/finnhub_snapshots/2026-08-25/TTWO_snapshot.json,
2026-08-25,Walt Disney Company (The),DIS,completed,/mnt/primary/finnhub_snapshots/2026-08-25/DIS_snapshot.json,
2026-08-25,Warner Bros. Discovery,WBD,completed,/mnt/primary/finnhub_snapshots/2026-08-25/WBD_snapshot.json,
2026-08-25,Airbnb,ABNB,completed,/mnt/primary/finnhub_snapshots/2026-08-25/ABNB_snapshot.json,
2026-08-25,Amazon,AMZN,completed,/mnt/primary/finnhub_snapshots/2026-08-25/AMZN_snapshot.json,
2026-08-25,Booking Holdings,BKNG,completed,/mnt/primary/finnhub_snapshots/2026-08-25/BKNG_snapshot.json,
2026-08-25,DoorDash,DASH,completed,/mnt/primary/finnhub_snapshots/2026-08-25/DASH_snapshot.json,
2026-08-25,"Nike, Inc.",NKE,completed,/mnt/primary/finnhub_snapshots/2026-08-25/NKE_snapshot.json,
2026-08-25,Ralph Lauren Corporation,RL,completed,/mnt/primary/finnhub_snapshots/2026-08-25/RL_snapshot.json,
2026-08-25,Starbucks,SBUX,completed,/mnt/primary/finnhub_snapshots/2026-08-25/SBUX_snapshot.json,
2026-08-25,"Tapestry, Inc.",TPR,completed,/mnt/primary/finnhub_snapshots/2026-08-25/TPR_snapshot.json,
2026-08-25,"Tesla, Inc.",TSLA,completed,/mnt/primary/finnhub_snapshots/2026-08-25/TSLA_snapshot.json,
2026-08-25,Casey's,CASY,completed,/mnt/primary/finnhub_snapshots/2026-08-25/CASY_snapshot.json,
2026-08-25,Coca-Cola Company (The),KO,completed,/mnt/primary/finnhub_snapshots/2026-08-25/KO_snapshot.json,
2026-08-25,Colgate-Palmolive,CL,completed,/mnt/primary/finnhub_snapshots/2026-08-25/CL_snapshot.json,
2026-08-25,Costco,COST,completed,/mnt/primary/finnhub_snapshots/2026-08-25/COST_snapshot.json,
2026-08-25,Dollar General,DG,completed,/mnt/primary/finnhub_snapshots/2026-08-25/DG_snapshot.json,
2026-08-25,General Mills,GIS,completed,/mnt/primary/finnhub_snapshots/2026-08-25/GIS_snapshot.json,
2026-08-25,PepsiCo,PEP,completed,/mnt/primary/finnhub_snapshots/2026-08-25/PEP_snapshot.json,
2026-08-25,Target Corporation,TGT,completed,/mnt/primary/finnhub_snapshots/2026-08-25/TGT_snapshot.json,
2026-08-25,Walmart,WMT,completed,/mnt/primary/finnhub_snapshots/2026-08-25/WMT_snapshot.json,
2026-08-25,APA Corporation,APA,completed,/mnt/primary/finnhub_snapshots/2026-08-25/APA_snapshot.json,
2026-08-25,Baker Hughes,BKR,completed,/mnt/primary/finnhub_snapshots/2026-08-25/BKR_snapshot.json,
2026-08-25,Chevron Corporation,CVX,completed,/mnt/primary/finnhub_snapshots/2026-08-25/CVX_snapshot.json,
2026-08-25,ConocoPhillips,COP,completed,/mnt/primary/finnhub_snapshots/2026-08-25/COP_snapshot.json,
2026-08-25,Devon Energy,DVN,completed,/mnt/primary/finnhub_snapshots/2026-08-25/DVN_snapshot.json,
2026-08-25,Diamondback Energy,FANG,completed,/mnt/primary/finnhub_snapshots/2026-08-25/FANG_snapshot.json,
2026-08-25,EOG Resources,EOG,completed,/mnt/primary/finnhub_snapshots/2026-08-25/EOG_snapshot.json,
2026-08-25,Expand Energy,EXE,completed,/mnt/primary/finnhub_snapshots/2026-08-25/EXE_snapshot.json,
