snapshot_date,company_name,ticker,status,snapshot_file,error
2026-08-20,Alphabet Inc. (Class A),GOOGL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/GOOGL_snapshot.json,
2026-08-20,AT&T,T,completed,/mnt/primary/finnhub_snapshots/2026-08-20/T_snapshot.json,
2026-08-20,Electronic Arts,EA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/EA_snapshot.json,
2026-08-20,Meta Platforms,META,completed,/mnt/primary/finnhub_snapshots/2026-08-20/META_snapshot.json,
2026-08-20,Netflix,NFLX,completed,/mnt/primary/finnhub_snapshots/2026-08-20/NFLX_snapshot.json,
2026-08-20,Omnicom Group,OMC,completed,/mnt/primary/finnhub_snapshots/2026-08-20/OMC_snapshot.json,
2026-08-20,Take-Two Interactive,TTWO,completed,/mnt/primary/finnhub_snapshots/2026-08-20/TTWO_snapshot.json,
2026-08-20,Walt Disney Company (The),DIS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DIS_snapshot.json,
2026-08-20,Warner Bros. Discovery,WBD,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WBD_snapshot.json,
2026-08-20,Airbnb,ABNB,completed,/mnt/primary/finnhub_snapshots/2026-08-20/ABNB_snapshot.json,
2026-08-20,Amazon,AMZN,completed,/mnt/primary/finnhub_snapshots/2026-08-20/AMZN_snapshot.json,
2026-08-20,Booking Holdings,BKNG,completed,/mnt/primary/finnhub_snapshots/2026-08-20/BKNG_snapshot.json,
2026-08-20,DoorDash,DASH,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DASH_snapshot.json,
2026-08-20,"Nike, Inc.",NKE,completed,/mnt/primary/finnhub_snapshots/2026-08-20/NKE_snapshot.json,
2026-08-20,Ralph Lauren Corporation,RL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/RL_snapshot.json,
2026-08-20,Starbucks,SBUX,completed,/mnt/primary/finnhub_snapshots/2026-08-20/SBUX_snapshot.json,
2026-08-20,"Tapestry, Inc.",TPR,completed,/mnt/primary/finnhub_snapshots/2026-08-20/TPR_snapshot.json,
2026-08-20,"Tesla, Inc.",TSLA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/TSLA_snapshot.json,
2026-08-20,Casey's,CASY,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CASY_snapshot.json,
2026-08-20,Coca-Cola Company (The),KO,completed,/mnt/primary/finnhub_snapshots/2026-08-20/KO_snapshot.json,
2026-08-20,Colgate-Palmolive,CL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CL_snapshot.json,
2026-08-20,Costco,COST,completed,/mnt/primary/finnhub_snapshots/2026-08-20/COST_snapshot.json,
2026-08-20,Dollar General,DG,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DG_snapshot.json,
2026-08-20,General Mills,GIS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/GIS_snapshot.json,
2026-08-20,PepsiCo,PEP,completed,/mnt/primary/finnhub_snapshots/2026-08-20/PEP_snapshot.json,
2026-08-20,Target Corporation,TGT,completed,/mnt/primary/finnhub_snapshots/2026-08-20/TGT_snapshot.json,
2026-08-20,Walmart,WMT,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WMT_snapshot.json,
2026-08-20,APA Corporation,APA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/APA_snapshot.json,
2026-08-20,Baker Hughes,BKR,completed,/mnt/primary/finnhub_snapshots/2026-08-20/BKR_snapshot.json,
2026-08-20,Chevron Corporation,CVX,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CVX_snapshot.json,
2026-08-20,ConocoPhillips,COP,completed,/mnt/primary/finnhub_snapshots/2026-08-20/COP_snapshot.json,
2026-08-20,Devon Energy,DVN,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DVN_snapshot.json,
2026-08-20,Diamondback Energy,FANG,completed,/mnt/primary/finnhub_snapshots/2026-08-20/FANG_snapshot.json,
2026-08-20,EOG Resources,EOG,completed,/mnt/primary/finnhub_snapshots/2026-08-20/EOG_snapshot.json,
2026-08-20,Expand Energy,EXE,completed,/mnt/primary/finnhub_snapshots/2026-08-20/EXE_snapshot.json,
2026-08-20,Williams Companies,WMB,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WMB_snapshot.json,
2026-08-20,Aflac,AFL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/AFL_snapshot.json,
2026-08-20,American Express,AXP,completed,/mnt/primary/finnhub_snapshots/2026-08-20/AXP_snapshot.json,
2026-08-20,American International Group,AIG,completed,/mnt/primary/finnhub_snapshots/2026-08-20/AIG_snapshot.json,
2026-08-20,Apollo Global Management,APO,completed,/mnt/primary/finnhub_snapshots/2026-08-20/APO_snapshot.json,
2026-08-20,Goldman Sachs,GS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/GS_snapshot.json,
2026-08-20,JPMorgan Chase,JPM,completed,/mnt/primary/finnhub_snapshots/2026-08-20/JPM_snapshot.json,
2026-08-20,PayPal,PYPL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/PYPL_snapshot.json,
2026-08-20,Visa Inc.,V,completed,/mnt/primary/finnhub_snapshots/2026-08-20/V_snapshot.json,
2026-08-20,Wells Fargo,WFC,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WFC_snapshot.json,
2026-08-20,Cigna,CI,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CI_snapshot.json,
2026-08-20,Cooper Companies (The),COO,completed,/mnt/primary/finnhub_snapshots/2026-08-20/COO_snapshot.json,
2026-08-20,CVS Health,CVS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CVS_snapshot.json,
2026-08-20,Danaher Corporation,DHR,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DHR_snapshot.json,
2026-08-20,DaVita,DVA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DVA_snapshot.json,
2026-08-20,Dexcom,DXCM,completed,/mnt/primary/finnhub_snapshots/2026-08-20/DXCM_snapshot.json,
2026-08-20,Edwards Lifesciences,EW,completed,/mnt/primary/finnhub_snapshots/2026-08-20/EW_snapshot.json,
2026-08-20,GE HealthCare,GEHC,completed,/mnt/primary/finnhub_snapshots/2026-08-20/GEHC_snapshot.json,
2026-08-20,Gilead Sciences,GILD,completed,/mnt/primary/finnhub_snapshots/2026-08-20/GILD_snapshot.json,
2026-08-20,3M,MMM,completed,/mnt/primary/finnhub_snapshots/2026-08-20/MMM_snapshot.json,
2026-08-20,A. O. Smith,AOS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/AOS_snapshot.json,
2026-08-20,Boeing,BA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/BA_snapshot.json,
2026-08-20,Broadridge Financial Solutions,BR,completed,/mnt/primary/finnhub_snapshots/2026-08-20/BR_snapshot.json,
2026-08-20,C.H. Robinson,CHRW,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CHRW_snapshot.json,
2026-08-20,Carrier Global,CARR,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CARR_snapshot.json,
2026-08-20,Caterpillar Inc.,CAT,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CAT_snapshot.json,
2026-08-20,Cintas,CTAS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CTAS_snapshot.json,
2026-08-20,Xylem Inc.,XYL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/XYL_snapshot.json,
2026-08-20,Accenture,ACN,completed,/mnt/primary/finnhub_snapshots/2026-08-20/ACN_snapshot.json,
2026-08-20,Adobe Inc.,ADBE,completed,/mnt/primary/finnhub_snapshots/2026-08-20/ADBE_snapshot.json,
2026-08-20,Apple Inc.,AAPL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/AAPL_snapshot.json,
2026-08-20,Cisco,CSCO,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CSCO_snapshot.json,
2026-08-20,Cognizant,CTSH,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CTSH_snapshot.json,
2026-08-20,Hewlett Packard Enterprise,HPE,completed,/mnt/primary/finnhub_snapshots/2026-08-20/HPE_snapshot.json,
2026-08-20,Sandisk,SNDK,completed,/mnt/primary/finnhub_snapshots/2026-08-20/SNDK_snapshot.json,
2026-08-20,ServiceNow,NOW,completed,/mnt/primary/finnhub_snapshots/2026-08-20/NOW_snapshot.json,
2026-08-20,Western Digital,WDC,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WDC_snapshot.json,
2026-08-20,"Workday, Inc.",WDAY,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WDAY_snapshot.json,
2026-08-20,Air Products,APD,completed,/mnt/primary/finnhub_snapshots/2026-08-20/APD_snapshot.json,
2026-08-20,Corteva,CTVA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CTVA_snapshot.json,
2026-08-20,International Flavors & Fragrances,IFF,completed,/mnt/primary/finnhub_snapshots/2026-08-20/IFF_snapshot.json,
2026-08-20,International Paper,IP,completed,/mnt/primary/finnhub_snapshots/2026-08-20/IP_snapshot.json,
2026-08-20,LyondellBasell,LYB,completed,/mnt/primary/finnhub_snapshots/2026-08-20/LYB_snapshot.json,
2026-08-20,Martin Marietta Materials,MLM,completed,/mnt/primary/finnhub_snapshots/2026-08-20/MLM_snapshot.json,
2026-08-20,Mosaic Company (The),MOS,completed,/mnt/primary/finnhub_snapshots/2026-08-20/MOS_snapshot.json,
2026-08-20,Smurfit Westrock,SW,completed,/mnt/primary/finnhub_snapshots/2026-08-20/SW_snapshot.json,
2026-08-20,Steel Dynamics,STLD,completed,/mnt/primary/finnhub_snapshots/2026-08-20/STLD_snapshot.json,
2026-08-20,Vulcan Materials Company,VMC,completed,/mnt/primary/finnhub_snapshots/2026-08-20/VMC_snapshot.json,
2026-08-20,CBRE Group,CBRE,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CBRE_snapshot.json,
2026-08-20,CoStar Group,CSGP,completed,/mnt/primary/finnhub_snapshots/2026-08-20/CSGP_snapshot.json,
2026-08-20,Iron Mountain,IRM,completed,/mnt/primary/finnhub_snapshots/2026-08-20/IRM_snapshot.json,
2026-08-20,Kimco Realty,KIM,completed,/mnt/primary/finnhub_snapshots/2026-08-20/KIM_snapshot.json,
2026-08-20,Mid-America Apartment Communities,MAA,completed,/mnt/primary/finnhub_snapshots/2026-08-20/MAA_snapshot.json,
2026-08-20,Ventas,VTR,completed,/mnt/primary/finnhub_snapshots/2026-08-20/VTR_snapshot.json,
2026-08-20,Welltower,WELL,completed,/mnt/primary/finnhub_snapshots/2026-08-20/WELL_snapshot.json,
