Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,XYL,XYL,47.41999816894531,47.529998779296875,46.83000183105469,46.83000183105469,41.28557586669922,1204000
2016-07-15,XYL,XYL,46.9900016784668,47.06999969482422,46.849998474121094,47.04999923706055,41.479522705078125,1051500
2016-07-18,XYL,XYL,47.06999969482422,47.27000045776367,46.849998474121094,46.9900016784668,41.426631927490234,597500
2016-07-19,XYL,XYL,46.959999084472656,47.2599983215332,46.81999969482422,47.18000030517578,41.594139099121094,985500
2016-07-20,XYL,XYL,47.06999969482422,47.369998931884766,46.91999816894531,47.20000076293945,41.61176300048828,641000
2016-07-21,XYL,XYL,47.18000030517578,47.310001373291016,46.560001373291016,46.7400016784668,41.20622253417969,681800
2016-07-22,XYL,XYL,46.709999084472656,47.06999969482422,46.619998931884766,46.959999084472656,41.400177001953125,763100
2016-07-25,XYL,XYL,46.88999938964844,46.97999954223633,46.61000061035156,46.849998474121094,41.303192138671875,458700
2016-07-26,XYL,XYL,46.939998626708984,47.79999923706055,46.86000061035156,47.779998779296875,42.12310028076172,1081300
2016-07-27,XYL,XYL,47.77000045776367,48.02000045776367,47.540000915527344,47.779998779296875,42.12310028076172,542100
2016-07-28,XYL,XYL,47.709999084472656,48.060001373291016,47.599998474121094,47.88999938964844,42.2200813293457,630700
2016-07-29,XYL,XYL,47.720001220703125,47.959999084472656,47.470001220703125,47.810001373291016,42.14954376220703,681700
2016-08-01,XYL,XYL,47.91999816894531,47.939998626708984,47.5099983215332,47.810001373291016,42.14954376220703,1250300
2016-08-02,XYL,XYL,46.880001068115234,46.880001068115234,45.72999954223633,46.40999984741211,40.9152946472168,1926800
2016-08-03,XYL,XYL,46.400001525878906,46.400001525878906,45.97999954223633,46.22999954223633,40.75660705566406,996400
2016-08-04,XYL,XYL,46.2599983215332,47.29999923706055,46.2599983215332,46.91999816894531,41.36491012573242,891300
2016-08-05,XYL,XYL,47.040000915527344,47.349998474121094,46.970001220703125,47.349998474121094,41.74402618408203,619700
2016-08-08,XYL,XYL,47.310001373291016,47.66999816894531,47.04999923706055,47.4900016784668,41.86744689941406,698700
2016-08-09,XYL,XYL,47.599998474121094,47.970001220703125,47.380001068115234,47.93000030517578,42.25532531738281,628900
2016-08-10,XYL,XYL,47.939998626708984,48.02000045776367,47.75,47.88999938964844,42.2200813293457,647000
2016-08-11,XYL,XYL,48.0,48.810001373291016,48.0,48.540000915527344,42.793113708496094,886300
