Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,AXP,AXP,63.65999984741211,64.0,63.40999984741211,63.61000061035156,55.43352127075195,4417200
2016-07-15,AXP,AXP,63.95000076293945,64.11000061035156,63.310001373291016,63.779998779296875,55.581668853759766,3675600
2016-07-18,AXP,AXP,63.959999084472656,64.12000274658203,63.540000915527344,63.9900016784668,55.76466369628906,3260000
2016-07-19,AXP,AXP,63.689998626708984,64.16999816894531,63.5,64.16000366210938,55.91282272338867,3840500
2016-07-20,AXP,AXP,64.29000091552734,64.80000305175781,63.5,64.4800033569336,56.19168472290039,8315800
2016-07-21,AXP,AXP,63.79999923706055,64.37999725341797,62.880001068115234,63.43000030517578,55.27665710449219,9498600
2016-07-22,AXP,AXP,63.400001525878906,64.33999633789062,63.369998931884766,64.27999877929688,56.017398834228516,4063400
2016-07-25,AXP,AXP,64.19999694824219,64.41999816894531,64.04000091552734,64.33000183105469,56.06094741821289,3060300
2016-07-26,AXP,AXP,64.43000030517578,64.55000305175781,63.97999954223633,64.37000274658203,56.095829010009766,2745900
2016-07-27,AXP,AXP,64.2699966430664,64.94000244140625,64.20999908447266,64.58999633789062,56.28754806518555,3168500
2016-07-28,AXP,AXP,64.36000061035156,64.97000122070312,64.05999755859375,64.79000091552734,56.461822509765625,3044000
2016-07-29,AXP,AXP,64.69999694824219,64.73999786376953,64.16999816894531,64.45999908447266,56.174251556396484,3732700
2016-08-01,AXP,AXP,64.48999786376953,64.73999786376953,63.959999084472656,64.12999725341797,55.886680603027344,2913900
2016-08-02,AXP,AXP,63.959999084472656,64.22000122070312,63.20000076293945,63.470001220703125,55.31150436401367,2531000
2016-08-03,AXP,AXP,63.5,64.0199966430664,63.470001220703125,63.83000183105469,55.6252326965332,3034500
2016-08-04,AXP,AXP,63.880001068115234,64.0199966430664,63.5099983215332,63.939998626708984,55.72109603881836,3680000
2016-08-05,AXP,AXP,64.54000091552734,65.70999908447266,64.3499984741211,65.5199966430664,57.097991943359375,4863800
2016-08-08,AXP,AXP,65.83000183105469,66.25,65.61000061035156,65.83000183105469,57.3681526184082,3253700
2016-08-09,AXP,AXP,65.83000183105469,66.01000213623047,65.16999816894531,65.38999938964844,56.98469924926758,3701600
2016-08-10,AXP,AXP,65.43000030517578,65.5,64.58000183105469,64.73999786376953,56.41825485229492,2883000
2016-08-11,AXP,AXP,65.0,65.66000366210938,64.88999938964844,65.4800033569336,57.06315231323242,2450100
2016-08-12,AXP,AXP,65.16000366210938,65.51000213623047,65.01000213623047,65.37999725341797,56.97599411010742,2103800
2016-08-15,AXP,AXP,65.2699966430664,65.81999969482422,65.2699966430664,65.62999725341797,57.19385528564453,3136700
2016-08-16,AXP,AXP,65.61000061035156,65.66999816894531,65.27999877929688,65.30000305175781,56.90628433227539,2805600
