Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,CASY,CASY,131.55999755859375,131.74000549316406,130.14999389648438,130.27000427246094,121.25665283203125,419900
2016-07-15,CASY,CASY,130.49000549316406,131.22000122070312,129.3800048828125,130.2100067138672,121.20081329345703,450400
2016-07-18,CASY,CASY,130.3800048828125,131.44000244140625,129.6999969482422,130.72000122070312,121.67549133300781,252600
2016-07-19,CASY,CASY,130.99000549316406,131.5800018310547,129.9600067138672,131.13999938964844,122.06643676757812,242200
2016-07-20,CASY,CASY,131.6999969482422,133.0800018310547,131.02999877929688,132.72999572753906,123.54640197753906,358800
2016-07-21,CASY,CASY,132.67999267578125,132.8800048828125,131.1300048828125,132.07000732421875,122.9321060180664,256500
2016-07-22,CASY,CASY,131.8699951171875,133.52999877929688,131.52999877929688,133.50999450683594,124.27246856689453,282800
2016-07-25,CASY,CASY,134.86000061035156,135.2899932861328,133.50999450683594,134.86000061035156,125.5290298461914,401800
2016-07-26,CASY,CASY,135.88999938964844,136.22000122070312,134.60000610351562,135.9199981689453,126.51568603515625,473200
2016-07-27,CASY,CASY,136.0,136.00999450683594,132.2100067138672,132.77000427246094,123.58367156982422,407300
2016-07-28,CASY,CASY,132.52999877929688,133.0,131.1999969482422,131.97000122070312,123.06147766113281,348100
2016-07-29,CASY,CASY,132.0,134.5500030517578,131.2899932861328,133.5399932861328,124.52545928955078,347300
2016-08-01,CASY,CASY,133.49000549316406,134.3000030517578,132.2100067138672,133.5500030517578,124.53479766845703,298900
2016-08-02,CASY,CASY,133.99000549316406,134.0,131.16000366210938,131.9199981689453,123.0147933959961,299800
2016-08-03,CASY,CASY,131.57000732421875,132.5,130.0,132.47000122070312,123.5276870727539,330800
2016-08-04,CASY,CASY,132.7899932861328,133.61000061035156,130.88999938964844,131.4499969482422,122.57657623291016,397400
2016-08-05,CASY,CASY,132.13999938964844,134.0399932861328,131.3699951171875,133.47000122070312,124.46018981933594,351100
2016-08-08,CASY,CASY,134.02999877929688,134.02999877929688,132.0500030517578,133.05999755859375,124.07789611816406,260500
2016-08-09,CASY,CASY,132.77000427246094,133.64999389648438,132.55999755859375,132.72000122070312,123.76081848144531,228100
2016-08-10,CASY,CASY,132.8800048828125,134.22999572753906,132.19000244140625,133.0,124.02194213867188,274400
2016-08-11,CASY,CASY,132.9499969482422,134.02000427246094,131.4499969482422,132.0,123.08941650390625,298100
2016-08-12,CASY,CASY,132.30999755859375,132.50999450683594,131.25999450683594,132.0,123.08941650390625,260000
2016-08-15,CASY,CASY,131.33999633789062,132.58999633789062,131.2899932861328,132.2899932861328,123.3598861694336,333900
2016-08-16,CASY,CASY,132.0500030517578,132.97999572753906,130.85000610351562,131.8300018310547,122.9308853149414,321400
2016-08-17,CASY,CASY,131.85000610351562,132.4600067138672,131.10000610351562,132.32000732421875,123.38784790039062,249200
2016-08-18,CASY,CASY,132.72999572753906,134.39999389648438,132.72999572753906,134.33999633789062,125.27149963378906,251300
2016-08-19,CASY,CASY,134.4499969482422,135.67999267578125,133.99000549316406,134.33999633789062,125.27149963378906,299400
2016-08-22,CASY,CASY,134.42999267578125,135.38999938964844,132.75,134.77000427246094,125.67240905761719,298100
2016-08-23,CASY,CASY,135.0,135.0,132.85000610351562,132.8699951171875,123.90070343017578,228400
2016-08-24,CASY,CASY,133.0,134.17999267578125,133.0,133.7100067138672,124.68401336669922,242100
2016-08-25,CASY,CASY,133.27999877929688,134.13999938964844,132.85000610351562,133.8300018310547,124.79588317871094,170300
2016-08-26,CASY,CASY,133.83999633789062,134.5800018310547,132.1999969482422,133.11000061035156,124.12449645996094,158200
2016-08-29,CASY,CASY,132.88999938964844,134.0399932861328,132.5399932861328,133.41000366210938,124.40426635742188,166500
2016-08-30,CASY,CASY,133.6699981689453,134.2899932861328,131.80999755859375,132.14999389648438,123.22927856445312,315900
2016-08-31,CASY,CASY,131.8800048828125,132.8800048828125,130.8800048828125,131.30999755859375,122.44601440429688,295300
2016-09-01,CASY,CASY,131.80999755859375,132.4499969482422,130.9199981689453,131.47000122070312,122.59519958496094,349300
2016-09-02,CASY,CASY,131.75999450683594,133.75999450683594,131.64999389648438,133.27999877929688,124.28302001953125,305900
2016-09-06,CASY,CASY,133.88999938964844,134.57000732421875,131.69000244140625,133.30999755859375,124.31097412109375,504800
2016-09-07,CASY,CASY,121.25,122.73999786376953,115.37000274658203,121.20999908447266,113.0278091430664,3257200
2016-09-08,CASY,CASY,121.19000244140625,121.5,118.87999725341797,119.81999969482422,111.73161315917969,945200
2016-09-09,CASY,CASY,118.76000213623047,120.9800033569336,118.18000030517578,119.83999633789062,111.75027465820312,909500
2016-09-12,CASY,CASY,119.25,121.4800033569336,119.02999877929688,119.80000305175781,111.7129898071289,698500
2016-09-13,CASY,CASY,119.73999786376953,121.01000213623047,119.26000213623047,120.12000274658203,112.0113754272461,571900
2016-09-14,CASY,CASY,120.2300033569336,120.23999786376953,118.25,118.55000305175781,110.54735565185547,694200
2016-09-15,CASY,CASY,118.18000030517578,120.87000274658203,117.80000305175781,119.69999694824219,111.61974334716797,450800
2016-09-16,CASY,CASY,120.56999969482422,120.56999969482422,118.12999725341797,118.9800033569336,110.94831848144531,733600
2016-09-19,CASY,CASY,118.80999755859375,120.38999938964844,118.80999755859375,119.72000122070312,111.63839721679688,451500
2016-09-20,CASY,CASY,119.95999908447266,120.3499984741211,118.19000244140625,119.08000183105469,111.04156494140625,310200
2016-09-21,CASY,CASY,118.58000183105469,120.06999969482422,117.55000305175781,119.63999938964844,111.56377410888672,528600
2016-09-22,CASY,CASY,119.7699966430664,120.3499984741211,118.33999633789062,119.69999694824219,111.61974334716797,787400
2016-09-23,CASY,CASY,119.38999938964844,120.19999694824219,117.69999694824219,117.94000244140625,109.978515625,621200
2016-09-26,CASY,CASY,117.20999908447266,117.83999633789062,116.01000213623047,116.20999908447266,108.36531066894531,394400
2016-09-27,CASY,CASY,115.88999938964844,117.04000091552734,115.56999969482422,115.69999694824219,107.8897476196289,628000
2016-09-28,CASY,CASY,115.91999816894531,117.0,115.5,116.1500015258789,108.30938720703125,744600
2016-09-29,CASY,CASY,116.1500015258789,116.44000244140625,115.06999969482422,115.08999633789062,107.32089233398438,644400
2016-09-30,CASY,CASY,117.75,120.44999694824219,117.30999755859375,120.1500015258789,112.03933715820312,1121200
2016-10-03,CASY,CASY,119.48999786376953,120.55999755859375,118.73999786376953,119.0999984741211,111.06022644042969,649700
2016-10-04,CASY,CASY,119.0,120.73999786376953,117.13999938964844,117.19999694824219,109.28848266601562,597300
2016-10-05,CASY,CASY,116.97000122070312,117.69999694824219,116.61000061035156,116.77999877929688,108.8968505859375,1092100
2016-10-06,CASY,CASY,116.05000305175781,119.06999969482422,116.05000305175781,118.30999755859375,110.32355499267578,502900
2016-10-07,CASY,CASY,118.75,118.75,116.73999786376953,116.94999694824219,109.05537414550781,415200
2016-10-10,CASY,CASY,116.94999694824219,118.08000183105469,116.83999633789062,117.69000244140625,109.74542236328125,267100
