snapshot_date,company_name,ticker,status,snapshot_file,error
2026-07-31,Alphabet Inc. (Class A),GOOGL,completed,/mnt/primary/finnhub_snapshots/2026-07-31/GOOGL_snapshot.json,
2026-07-31,AT&T,T,completed,/mnt/primary/finnhub_snapshots/2026-07-31/T_snapshot.json,
2026-07-31,Electronic Arts,EA,completed,/mnt/primary/finnhub_snapshots/2026-07-31/EA_snapshot.json,
2026-07-31,Meta Platforms,META,completed,/mnt/primary/finnhub_snapshots/2026-07-31/META_snapshot.json,
2026-07-31,Netflix,NFLX,completed,/mnt/primary/finnhub_snapshots/2026-07-31/NFLX_snapshot.json,
2026-07-31,Omnicom Group,OMC,completed,/mnt/primary/finnhub_snapshots/2026-07-31/OMC_snapshot.json,
2026-07-31,Take-Two Interactive,TTWO,completed,/mnt/primary/finnhub_snapshots/2026-07-31/TTWO_snapshot.json,
2026-07-31,Walt Disney Company (The),DIS,completed,/mnt/primary/finnhub_snapshots/2026-07-31/DIS_snapshot.json,
2026-07-31,Warner Bros. Discovery,WBD,completed,/mnt/primary/finnhub_snapshots/2026-07-31/WBD_snapshot.json,
2026-07-31,Airbnb,ABNB,completed,/mnt/primary/finnhub_snapshots/2026-07-31/ABNB_snapshot.json,
2026-07-31,Amazon,AMZN,completed,/mnt/primary/finnhub_snapshots/2026-07-31/AMZN_snapshot.json,
2026-07-31,Booking Holdings,BKNG,completed,/mnt/primary/finnhub_snapshots/2026-07-31/BKNG_snapshot.json,
2026-07-31,DoorDash,DASH,completed,/mnt/primary/finnhub_snapshots/2026-07-31/DASH_snapshot.json,
2026-07-31,"Nike, Inc.",NKE,completed,/mnt/primary/finnhub_snapshots/2026-07-31/NKE_snapshot.json,
2026-07-31,Ralph Lauren Corporation,RL,completed,/mnt/primary/finnhub_snapshots/2026-07-31/RL_snapshot.json,
2026-07-31,Starbucks,SBUX,completed,/mnt/primary/finnhub_snapshots/2026-07-31/SBUX_snapshot.json,
2026-07-31,"Tapestry, Inc.",TPR,completed,/mnt/primary/finnhub_snapshots/2026-07-31/TPR_snapshot.json,
2026-07-31,"Tesla, Inc.",TSLA,completed,/mnt/primary/finnhub_snapshots/2026-07-31/TSLA_snapshot.json,
2026-07-31,Casey's,CASY,completed,/mnt/primary/finnhub_snapshots/2026-07-31/CASY_snapshot.json,
2026-07-31,Coca-Cola Company (The),KO,completed,/mnt/primary/finnhub_snapshots/2026-07-31/KO_snapshot.json,
2026-07-31,Colgate-Palmolive,CL,completed,/mnt/primary/finnhub_snapshots/2026-07-31/CL_snapshot.json,
2026-07-31,Costco,COST,completed,/mnt/primary/finnhub_snapshots/2026-07-31/COST_snapshot.json,
2026-07-31,Dollar General,DG,completed,/mnt/primary/finnhub_snapshots/2026-07-31/DG_snapshot.json,
2026-07-31,General Mills,GIS,completed,/mnt/primary/finnhub_snapshots/2026-07-31/GIS_snapshot.json,
2026-07-31,PepsiCo,PEP,completed,/mnt/primary/finnhub_snapshots/2026-07-31/PEP_snapshot.json,
2026-07-31,Target Corporation,TGT,completed,/mnt/primary/finnhub_snapshots/2026-07-31/TGT_snapshot.json,
2026-07-31,Walmart,WMT,completed,/mnt/primary/finnhub_snapshots/2026-07-31/WMT_snapshot.json,
2026-07-31,APA Corporation,APA,completed,/mnt/primary/finnhub_snapshots/2026-07-31/APA_snapshot.json,
2026-07-31,Baker Hughes,BKR,completed,/mnt/primary/finnhub_snapshots/2026-07-31/BKR_snapshot.json,
2026-07-31,Chevron Corporation,CVX,completed,/mnt/primary/finnhub_snapshots/2026-07-31/CVX_snapshot.json,
2026-07-31,ConocoPhillips,COP,completed,/mnt/primary/finnhub_snapshots/2026-07-31/COP_snapshot.json,
2026-07-31,Devon Energy,DVN,completed,/mnt/primary/finnhub_snapshots/2026-07-31/DVN_snapshot.json,
2026-07-31,Diamondback Energy,FANG,completed,/mnt/primary/finnhub_snapshots/2026-07-31/FANG_snapshot.json,
2026-07-31,EOG Resources,EOG,completed,/mnt/primary/finnhub_snapshots/2026-07-31/EOG_snapshot.json,
2026-07-31,Expand Energy,EXE,completed,/mnt/primary/finnhub_snapshots/2026-07-31/EXE_snapshot.json,
2026-07-31,Williams Companies,WMB,completed,/mnt/primary/finnhub_snapshots/2026-07-31/WMB_snapshot.json,
2026-07-31,Aflac,AFL,completed,/mnt/primary/finnhub_snapshots/2026-07-31/AFL_snapshot.json,
2026-07-31,American Express,AXP,completed,/mnt/primary/finnhub_snapshots/2026-07-31/AXP_snapshot.json,
2026-07-31,American International Group,AIG,completed,/mnt/primary/finnhub_snapshots/2026-07-31/AIG_snapshot.json,
2026-07-31,Apollo Global Management,APO,completed,/mnt/primary/finnhub_snapshots/2026-07-31/APO_snapshot.json,
2026-07-31,Goldman Sachs,GS,completed,/mnt/primary/finnhub_snapshots/2026-07-31/GS_snapshot.json,
2026-07-31,JPMorgan Chase,JPM,completed,/mnt/primary/finnhub_snapshots/2026-07-31/JPM_snapshot.json,
2026-07-31,PayPal,PYPL,completed,/mnt/primary/finnhub_snapshots/2026-07-31/PYPL_snapshot.json,
2026-07-31,Visa Inc.,V,completed,/mnt/primary/finnhub_snapshots/2026-07-31/V_snapshot.json,
2026-07-31,Wells Fargo,WFC,completed,/mnt/primary/finnhub_snapshots/2026-07-31/WFC_snapshot.json,
2026-07-31,Cigna,CI,completed,/mnt/primary/finnhub_snapshots/2026-07-31/CI_snapshot.json,
2026-07-31,Cooper Companies (The),COO,completed,/mnt/primary/finnhub_snapshots/2026-07-31/COO_snapshot.json,
2026-07-31,CVS Health,CVS,completed,/mnt/primary/finnhub_snapshots/2026-07-31/CVS_snapshot.json,
2026-07-31,Danaher Corporation,DHR,completed,/mnt/primary/finnhub_snapshots/2026-07-31/DHR_snapshot.json,
2026-07-31,DaVita,DVA,completed,/mnt/primary/finnhub_snapshots/2026-07-31/DVA_snapshot.json,
