snapshot_date,company_name,ticker,status,snapshot_file,error
2026-08-09,Alphabet Inc. (Class A),GOOGL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/GOOGL_snapshot.json,
2026-08-09,AT&T,T,completed,/mnt/primary/finnhub_snapshots/2026-08-09/T_snapshot.json,
2026-08-09,Electronic Arts,EA,completed,/mnt/primary/finnhub_snapshots/2026-08-09/EA_snapshot.json,
2026-08-09,Meta Platforms,META,completed,/mnt/primary/finnhub_snapshots/2026-08-09/META_snapshot.json,
2026-08-09,Netflix,NFLX,completed,/mnt/primary/finnhub_snapshots/2026-08-09/NFLX_snapshot.json,
2026-08-09,Omnicom Group,OMC,completed,/mnt/primary/finnhub_snapshots/2026-08-09/OMC_snapshot.json,
2026-08-09,Take-Two Interactive,TTWO,completed,/mnt/primary/finnhub_snapshots/2026-08-09/TTWO_snapshot.json,
2026-08-09,Walt Disney Company (The),DIS,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DIS_snapshot.json,
2026-08-09,Warner Bros. Discovery,WBD,completed,/mnt/primary/finnhub_snapshots/2026-08-09/WBD_snapshot.json,
2026-08-09,Airbnb,ABNB,completed,/mnt/primary/finnhub_snapshots/2026-08-09/ABNB_snapshot.json,
2026-08-09,Amazon,AMZN,completed,/mnt/primary/finnhub_snapshots/2026-08-09/AMZN_snapshot.json,
2026-08-09,Booking Holdings,BKNG,completed,/mnt/primary/finnhub_snapshots/2026-08-09/BKNG_snapshot.json,
2026-08-09,DoorDash,DASH,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DASH_snapshot.json,
2026-08-09,"Nike, Inc.",NKE,completed,/mnt/primary/finnhub_snapshots/2026-08-09/NKE_snapshot.json,
2026-08-09,Ralph Lauren Corporation,RL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/RL_snapshot.json,
2026-08-09,Starbucks,SBUX,completed,/mnt/primary/finnhub_snapshots/2026-08-09/SBUX_snapshot.json,
2026-08-09,"Tapestry, Inc.",TPR,completed,/mnt/primary/finnhub_snapshots/2026-08-09/TPR_snapshot.json,
2026-08-09,"Tesla, Inc.",TSLA,completed,/mnt/primary/finnhub_snapshots/2026-08-09/TSLA_snapshot.json,
2026-08-09,Casey's,CASY,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CASY_snapshot.json,
2026-08-09,Coca-Cola Company (The),KO,completed,/mnt/primary/finnhub_snapshots/2026-08-09/KO_snapshot.json,
2026-08-09,Colgate-Palmolive,CL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CL_snapshot.json,
2026-08-09,Costco,COST,completed,/mnt/primary/finnhub_snapshots/2026-08-09/COST_snapshot.json,
2026-08-09,Dollar General,DG,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DG_snapshot.json,
2026-08-09,General Mills,GIS,completed,/mnt/primary/finnhub_snapshots/2026-08-09/GIS_snapshot.json,
2026-08-09,PepsiCo,PEP,completed,/mnt/primary/finnhub_snapshots/2026-08-09/PEP_snapshot.json,
2026-08-09,Target Corporation,TGT,completed,/mnt/primary/finnhub_snapshots/2026-08-09/TGT_snapshot.json,
2026-08-09,Walmart,WMT,completed,/mnt/primary/finnhub_snapshots/2026-08-09/WMT_snapshot.json,
2026-08-09,APA Corporation,APA,completed,/mnt/primary/finnhub_snapshots/2026-08-09/APA_snapshot.json,
2026-08-09,Baker Hughes,BKR,completed,/mnt/primary/finnhub_snapshots/2026-08-09/BKR_snapshot.json,
2026-08-09,Chevron Corporation,CVX,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CVX_snapshot.json,
2026-08-09,ConocoPhillips,COP,completed,/mnt/primary/finnhub_snapshots/2026-08-09/COP_snapshot.json,
2026-08-09,Devon Energy,DVN,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DVN_snapshot.json,
2026-08-09,Diamondback Energy,FANG,completed,/mnt/primary/finnhub_snapshots/2026-08-09/FANG_snapshot.json,
2026-08-09,EOG Resources,EOG,completed,/mnt/primary/finnhub_snapshots/2026-08-09/EOG_snapshot.json,
2026-08-09,Expand Energy,EXE,completed,/mnt/primary/finnhub_snapshots/2026-08-09/EXE_snapshot.json,
2026-08-09,Williams Companies,WMB,completed,/mnt/primary/finnhub_snapshots/2026-08-09/WMB_snapshot.json,
2026-08-09,Aflac,AFL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/AFL_snapshot.json,
2026-08-09,American Express,AXP,completed,/mnt/primary/finnhub_snapshots/2026-08-09/AXP_snapshot.json,
2026-08-09,American International Group,AIG,completed,/mnt/primary/finnhub_snapshots/2026-08-09/AIG_snapshot.json,
2026-08-09,Apollo Global Management,APO,completed,/mnt/primary/finnhub_snapshots/2026-08-09/APO_snapshot.json,
2026-08-09,Goldman Sachs,GS,completed,/mnt/primary/finnhub_snapshots/2026-08-09/GS_snapshot.json,
2026-08-09,JPMorgan Chase,JPM,completed,/mnt/primary/finnhub_snapshots/2026-08-09/JPM_snapshot.json,
2026-08-09,PayPal,PYPL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/PYPL_snapshot.json,
2026-08-09,Visa Inc.,V,completed,/mnt/primary/finnhub_snapshots/2026-08-09/V_snapshot.json,
2026-08-09,Wells Fargo,WFC,completed,/mnt/primary/finnhub_snapshots/2026-08-09/WFC_snapshot.json,
2026-08-09,Cigna,CI,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CI_snapshot.json,
2026-08-09,Cooper Companies (The),COO,completed,/mnt/primary/finnhub_snapshots/2026-08-09/COO_snapshot.json,
2026-08-09,CVS Health,CVS,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CVS_snapshot.json,
2026-08-09,Danaher Corporation,DHR,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DHR_snapshot.json,
2026-08-09,DaVita,DVA,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DVA_snapshot.json,
2026-08-09,Dexcom,DXCM,completed,/mnt/primary/finnhub_snapshots/2026-08-09/DXCM_snapshot.json,
2026-08-09,Edwards Lifesciences,EW,completed,/mnt/primary/finnhub_snapshots/2026-08-09/EW_snapshot.json,
2026-08-09,GE HealthCare,GEHC,completed,/mnt/primary/finnhub_snapshots/2026-08-09/GEHC_snapshot.json,
2026-08-09,Gilead Sciences,GILD,completed,/mnt/primary/finnhub_snapshots/2026-08-09/GILD_snapshot.json,
2026-08-09,3M,MMM,completed,/mnt/primary/finnhub_snapshots/2026-08-09/MMM_snapshot.json,
2026-08-09,A. O. Smith,AOS,completed,/mnt/primary/finnhub_snapshots/2026-08-09/AOS_snapshot.json,
2026-08-09,Boeing,BA,completed,/mnt/primary/finnhub_snapshots/2026-08-09/BA_snapshot.json,
2026-08-09,Broadridge Financial Solutions,BR,completed,/mnt/primary/finnhub_snapshots/2026-08-09/BR_snapshot.json,
2026-08-09,C.H. Robinson,CHRW,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CHRW_snapshot.json,
2026-08-09,Carrier Global,CARR,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CARR_snapshot.json,
2026-08-09,Caterpillar Inc.,CAT,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CAT_snapshot.json,
2026-08-09,Cintas,CTAS,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CTAS_snapshot.json,
2026-08-09,Xylem Inc.,XYL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/XYL_snapshot.json,
2026-08-09,Accenture,ACN,completed,/mnt/primary/finnhub_snapshots/2026-08-09/ACN_snapshot.json,
2026-08-09,Adobe Inc.,ADBE,completed,/mnt/primary/finnhub_snapshots/2026-08-09/ADBE_snapshot.json,
2026-08-09,Apple Inc.,AAPL,completed,/mnt/primary/finnhub_snapshots/2026-08-09/AAPL_snapshot.json,
2026-08-09,Cisco,CSCO,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CSCO_snapshot.json,
2026-08-09,Cognizant,CTSH,completed,/mnt/primary/finnhub_snapshots/2026-08-09/CTSH_snapshot.json,
