ML_Model,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
Elastic Net,Advanced,1,3.092434033872035,3.892522794673605
Elastic Net,Advanced,3,5.392914199867827,6.670506911624806
Elastic Net,Advanced,5,6.875862400508434,8.688407374856165
Elastic Net,Basic,1,3.0687781546999315,3.8799824273611034
Elastic Net,Basic,3,5.300111335434935,6.603715553905224
Elastic Net,Basic,5,6.7683603211083145,8.523836912448608
