ML_Model,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
Random Forest,Advanced,1,3.1196865425942635,3.9179319664547316
Random Forest,Advanced,3,5.454038273172389,6.764298601446485
Random Forest,Advanced,5,6.978251581949962,8.749123569415934
Random Forest,Basic,1,3.265143166346404,4.016109181635442
Random Forest,Basic,3,5.813804200899242,6.9975330316005255
Random Forest,Basic,5,7.47108738454854,8.964422633261288
