ML_Model,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
Linear Regression,Advanced,1,3.360158101833137,4.119473484462265
Linear Regression,Advanced,3,6.084311456168982,7.412135997941195
Linear Regression,Advanced,5,7.729405654602592,9.90435357387851
Linear Regression,Basic,1,3.1304890314516354,3.9550427363552174
Linear Regression,Basic,3,5.5519555100870965,6.91287869296883
Linear Regression,Basic,5,7.200220270155347,9.072967626767774
