ML_Model,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
XGBoost,Advanced,1,3.2760637658322964,4.03709223486001
XGBoost,Advanced,3,5.948135683702338,7.023238413562742
XGBoost,Advanced,5,7.613736709364953,9.15868142021767
XGBoost,Basic,1,3.57011090691788,4.281921716496935
XGBoost,Basic,3,6.3432404225970105,7.396754317245808
XGBoost,Basic,5,8.076823071054505,9.393709825741198
