Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,CI,CI,130.69000244140625,130.99000549316406,129.72000122070312,130.00999450683594,116.84619140625,1757700
2016-07-15,CI,CI,130.47000122070312,133.47999572753906,130.0399932861328,131.6699981689453,118.3381118774414,2496500
2016-07-18,CI,CI,132.6999969482422,133.6999969482422,131.41000366210938,133.1300048828125,119.65032958984375,1834800
2016-07-19,CI,CI,133.0800018310547,133.85000610351562,129.13999938964844,130.3000030517578,117.10684204101562,3183000
2016-07-20,CI,CI,131.02000427246094,133.25,130.99000549316406,133.11000061035156,119.63232421875,1947400
2016-07-21,CI,CI,131.9199981689453,148.99000549316406,131.8000030517578,140.32000732421875,126.1123046875,5321100
2016-07-22,CI,CI,141.64999389648438,146.74000549316406,139.74000549316406,146.0,131.21719360351562,3963900
2016-07-25,CI,CI,146.0,146.0,139.85000610351562,140.2100067138672,126.01345825195312,3500200
2016-07-26,CI,CI,139.69000244140625,142.63999938964844,138.25,140.00999450683594,125.83369445800781,2398700
2016-07-27,CI,CI,139.44000244140625,139.44000244140625,137.16000366210938,138.1300048828125,124.14404296875,2265000
2016-07-28,CI,CI,137.74000549316406,138.77999877929688,135.94000244140625,135.99000549316406,122.22071075439453,1994600
2016-07-29,CI,CI,128.6999969482422,130.75,127.30000305175781,128.9600067138672,115.90254974365234,5451000
2016-08-01,CI,CI,128.75,130.11000061035156,126.0199966430664,126.79000091552734,113.95223999023438,1905500
2016-08-02,CI,CI,126.58999633789062,127.69999694824219,123.52999877929688,124.12999725341797,111.56157684326172,1753100
2016-08-03,CI,CI,124.19000244140625,125.62999725341797,123.70999908447266,124.5999984741211,111.9839859008789,1713500
2016-08-04,CI,CI,124.68000030517578,128.8800048828125,124.5999984741211,128.27999877929688,115.29137420654297,2286700
2016-08-05,CI,CI,129.07000732421875,131.47000122070312,127.61000061035156,128.5,115.48907470703125,1503600
2016-08-08,CI,CI,128.13999938964844,129.02000427246094,126.7300033569336,128.38999938964844,115.39022827148438,993600
2016-08-09,CI,CI,128.6999969482422,129.5399932861328,126.98999786376953,127.16999816894531,114.29376220703125,1396800
2016-08-10,CI,CI,127.0,127.91999816894531,126.01000213623047,127.5999984741211,114.68022155761719,888200
2016-08-11,CI,CI,128.19000244140625,129.2899932861328,126.47000122070312,126.62000274658203,113.79943084716797,1140500
2016-08-12,CI,CI,126.86000061035156,133.5800018310547,125.55000305175781,133.30999755859375,119.81206512451172,3709600
2016-08-15,CI,CI,132.69000244140625,133.38999938964844,130.55999755859375,132.6300048828125,119.20095825195312,1822400
2016-08-16,CI,CI,132.22999572753906,132.75999450683594,130.8000030517578,131.8300018310547,118.48191833496094,1376100
2016-08-17,CI,CI,131.42999267578125,132.8300018310547,131.2899932861328,132.3000030517578,118.90432739257812,1270200
2016-08-18,CI,CI,132.0399932861328,133.91000366210938,132.0399932861328,132.6199951171875,119.1919174194336,1443900
2016-08-19,CI,CI,132.1999969482422,133.33999633789062,131.83999633789062,133.0,119.53347778320312,1077200
2016-08-22,CI,CI,133.0,133.47999572753906,132.72999572753906,133.35000610351562,119.8480224609375,660100
2016-08-23,CI,CI,133.77999877929688,134.49000549316406,132.8000030517578,133.0,119.53347778320312,895300
2016-08-24,CI,CI,132.94000244140625,133.94000244140625,131.10000610351562,131.3699951171875,118.06848907470703,800900
2016-08-25,CI,CI,130.6199951171875,131.57000732421875,128.9600067138672,129.41000366210938,116.30696105957031,838300
2016-08-26,CI,CI,129.60000610351562,130.47999572753906,126.5,127.6500015258789,114.72515106201172,1683900
2016-08-29,CI,CI,127.62000274658203,129.22000122070312,127.55000305175781,128.49000549316406,115.48011779785156,515700
2016-08-30,CI,CI,128.49000549316406,129.0399932861328,127.91999816894531,128.22000122070312,115.23744201660156,744500
2016-08-31,CI,CI,128.25,128.77000427246094,127.29000091552734,128.25999450683594,115.27338409423828,718700
2016-09-01,CI,CI,128.5800018310547,128.99000549316406,127.1500015258789,127.63999938964844,114.71617889404297,701500
2016-09-02,CI,CI,128.0399932861328,128.5,127.5,128.17999267578125,115.20147705078125,528100
2016-09-06,CI,CI,127.5999984741211,128.0399932861328,127.16999816894531,127.58000183105469,114.6622543334961,789900
2016-09-07,CI,CI,127.04000091552734,128.10000610351562,126.55000305175781,126.73999786376953,113.90729522705078,951500
2016-09-08,CI,CI,126.5199966430664,127.9000015258789,126.16999816894531,127.66999816894531,114.7431411743164,1056100
2016-09-09,CI,CI,127.05999755859375,129.08999633789062,127.05999755859375,128.4499969482422,115.44415283203125,1824500
