Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,CHRW,CHRW,73.31999969482422,73.31999969482422,72.27999877929688,72.30000305175781,57.15618896484375,1049700
2016-07-15,CHRW,CHRW,72.5,72.5,71.58000183105469,71.94000244140625,56.8715934753418,2067600
2016-07-18,CHRW,CHRW,70.7300033569336,71.98999786376953,70.20999908447266,71.44000244140625,56.47629165649414,1971500
2016-07-19,CHRW,CHRW,71.05000305175781,71.79000091552734,70.66000366210938,71.62000274658203,56.618614196777344,1295300
2016-07-20,CHRW,CHRW,71.62000274658203,72.3499984741211,71.01000213623047,71.16999816894531,56.262855529785156,1276800
2016-07-21,CHRW,CHRW,71.16000366210938,71.62000274658203,70.86000061035156,71.2300033569336,56.310302734375,1481100
2016-07-22,CHRW,CHRW,71.33000183105469,72.27999877929688,71.04000091552734,72.02999877929688,56.942718505859375,1134700
2016-07-25,CHRW,CHRW,71.76000213623047,72.05999755859375,71.43000030517578,71.5,56.52373504638672,1061700
2016-07-26,CHRW,CHRW,71.79000091552734,72.36000061035156,71.45999908447266,72.13999938964844,57.02968978881836,1749300
2016-07-27,CHRW,CHRW,68.41999816894531,70.47000122070312,66.62000274658203,68.3499984741211,54.03352355957031,4359700
2016-07-28,CHRW,CHRW,67.97000122070312,69.25,67.70999908447266,69.2300033569336,54.72920227050781,1514000
2016-07-29,CHRW,CHRW,69.1500015258789,69.86000061035156,68.75,69.62000274658203,55.037513732910156,1461500
2016-08-01,CHRW,CHRW,69.5,69.8499984741211,69.11000061035156,69.23999786376953,54.73710632324219,1817600
2016-08-02,CHRW,CHRW,69.23999786376953,69.36000061035156,68.31999969482422,68.36000061035156,54.04143142700195,1546400
2016-08-03,CHRW,CHRW,68.56999969482422,68.79000091552734,68.04000091552734,68.79000091552734,54.381370544433594,1446700
2016-08-04,CHRW,CHRW,68.79000091552734,69.06999969482422,67.77999877929688,68.48999786376953,54.144187927246094,1275600
2016-08-05,CHRW,CHRW,68.8499984741211,69.3499984741211,68.11000061035156,69.22000122070312,54.72129440307617,751200
2016-08-08,CHRW,CHRW,69.51000213623047,69.83999633789062,69.04000091552734,69.25,54.74501419067383,1299800
2016-08-09,CHRW,CHRW,69.37999725341797,69.61000061035156,68.75,68.91999816894531,54.4841194152832,1082400
2016-08-10,CHRW,CHRW,68.94999694824219,69.1500015258789,68.58999633789062,69.0199966430664,54.563194274902344,870800
2016-08-11,CHRW,CHRW,68.9800033569336,69.31999969482422,68.9800033569336,69.02999877929688,54.571102142333984,480400
2016-08-12,CHRW,CHRW,68.98999786376953,69.8499984741211,68.81999969482422,69.68000030517578,55.0849494934082,948400
2016-08-15,CHRW,CHRW,69.54000091552734,69.93000030517578,69.08000183105469,69.2300033569336,54.72920227050781,1014300
2016-08-16,CHRW,CHRW,69.25,70.01000213623047,68.9800033569336,69.81999969482422,55.19563293457031,1416500
2016-08-17,CHRW,CHRW,70.0,70.01000213623047,69.61000061035156,69.9000015258789,55.258872985839844,1443300
2016-08-18,CHRW,CHRW,69.9000015258789,70.0,68.79000091552734,68.95999908447266,54.51575469970703,1491500
2016-08-19,CHRW,CHRW,68.63999938964844,69.7300033569336,68.41999816894531,69.41999816894531,54.87940216064453,1606600
2016-08-22,CHRW,CHRW,69.29000091552734,69.62999725341797,69.05000305175781,69.44000244140625,54.89521789550781,993100
2016-08-23,CHRW,CHRW,69.79000091552734,69.86000061035156,69.31999969482422,69.4000015258789,54.86360168457031,1056900
2016-08-24,CHRW,CHRW,69.51000213623047,69.80000305175781,69.2300033569336,69.6500015258789,55.06122589111328,1063000
2016-08-25,CHRW,CHRW,69.38999938964844,69.62999725341797,68.79000091552734,68.87000274658203,54.44462203979492,898600
2016-08-26,CHRW,CHRW,69.02999877929688,69.69999694824219,68.52999877929688,68.77999877929688,54.37346267700195,976900
2016-08-29,CHRW,CHRW,68.77999877929688,69.44000244140625,68.7300033569336,69.43000030517578,54.88732147216797,768200
2016-08-30,CHRW,CHRW,69.4800033569336,69.70999908447266,69.37999725341797,69.5199966430664,54.958465576171875,707700
2016-08-31,CHRW,CHRW,69.05999755859375,69.58000183105469,68.94999694824219,69.41999816894531,55.22096633911133,1066100
2016-09-01,CHRW,CHRW,69.55999755859375,71.80999755859375,69.55999755859375,71.04000091552734,56.509613037109375,3754000
2016-09-02,CHRW,CHRW,71.36000061035156,71.97000122070312,70.8499984741211,71.31999969482422,56.73234176635742,1323600
2016-09-06,CHRW,CHRW,71.16000366210938,71.16000366210938,69.5999984741211,70.30999755859375,55.92892074584961,1200000
2016-09-07,CHRW,CHRW,70.33000183105469,70.61000061035156,70.01000213623047,70.22000122070312,55.85733413696289,957700
2016-09-08,CHRW,CHRW,70.36000061035156,70.7300033569336,69.70999908447266,70.06999969482422,55.73801040649414,1173300
