Date,Symbol,DownloadSymbol,Open,High,Low,Close,Adj Close,Volume
2016-07-14,DIS,DIS,100.41999816894531,100.80000305175781,99.68000030517578,99.97000122070312,92.10960388183594,7461500
2016-07-15,DIS,DIS,100.41999816894531,100.54000091552734,99.54000091552734,99.80000305175781,91.9529800415039,5764400
2016-07-18,DIS,DIS,99.9000015258789,100.70999908447266,99.87000274658203,100.1500015258789,92.27545928955078,5051300
2016-07-19,DIS,DIS,99.80999755859375,99.98999786376953,99.36000061035156,99.47000122070312,91.64893341064453,5742700
2016-07-20,DIS,DIS,98.6500015258789,98.69000244140625,97.13999938964844,98.22000122070312,90.4972152709961,10664900
2016-07-21,DIS,DIS,98.16999816894531,99.12999725341797,97.62000274658203,98.01000213623047,90.30371856689453,6726600
2016-07-22,DIS,DIS,98.38999938964844,98.41999816894531,97.47000122070312,97.70999908447266,90.02729797363281,5381700
2016-07-25,DIS,DIS,97.9000015258789,98.05999755859375,97.25,97.38999938964844,89.73246765136719,4825500
2016-07-26,DIS,DIS,97.0199966430664,97.16000366210938,96.33999633789062,96.69000244140625,89.0875244140625,6274800
2016-07-27,DIS,DIS,96.69999694824219,96.93000030517578,95.86000061035156,96.33000183105469,88.75581359863281,6911400
2016-07-28,DIS,DIS,96.4000015258789,96.48999786376953,95.81999969482422,95.91000366210938,88.36884307861328,7713500
2016-07-29,DIS,DIS,95.8499984741211,96.37999725341797,95.8499984741211,95.94999694824219,88.40569305419922,8264000
2016-08-01,DIS,DIS,96.1500015258789,96.19999694824219,95.08000183105469,95.54000091552734,88.0279541015625,7131600
2016-08-02,DIS,DIS,95.3499984741211,95.75,94.55999755859375,95.01000213623047,87.53960418701172,7644100
2016-08-03,DIS,DIS,95.05999755859375,96.43000030517578,95.0,96.08999633789062,88.53467559814453,9068700
2016-08-04,DIS,DIS,95.52999877929688,95.9800033569336,94.70999908447266,95.16000366210938,87.67780303955078,10038300
2016-08-05,DIS,DIS,95.4000015258789,96.0,95.3499984741211,95.83000183105469,88.29512786865234,6528500
2016-08-08,DIS,DIS,96.11000061035156,96.29000091552734,95.58000183105469,95.75,88.2214126586914,7792000
2016-08-09,DIS,DIS,95.61000061035156,96.8499984741211,95.30000305175781,96.66999816894531,89.0690689086914,15548700
2016-08-10,DIS,DIS,96.69999694824219,99.2699966430664,95.8499984741211,97.86000061035156,90.16552734375,27181300
2016-08-11,DIS,DIS,98.19999694824219,98.38999938964844,97.1500015258789,97.7699966430664,90.08258056640625,9233900
2016-08-12,DIS,DIS,97.81999969482422,97.81999969482422,96.66000366210938,96.83999633789062,89.22571563720703,9360300
2016-08-15,DIS,DIS,97.3499984741211,97.61000061035156,96.91999816894531,97.0999984741211,89.46527099609375,5299600
2016-08-16,DIS,DIS,96.86000061035156,97.25,96.2699966430664,96.87999725341797,89.26256561279297,5777800
2016-08-17,DIS,DIS,96.83999633789062,96.97000122070312,96.5199966430664,96.87000274658203,89.25336456298828,5697300
2016-08-18,DIS,DIS,96.87000274658203,97.12000274658203,96.55000305175781,96.6500015258789,89.05067443847656,5250700
2016-08-19,DIS,DIS,96.4000015258789,96.79000091552734,96.05000305175781,96.38999938964844,88.81110382080078,6362400
2016-08-22,DIS,DIS,96.47000122070312,96.47000122070312,95.6500015258789,95.87000274658203,88.33198547363281,5495300
2016-08-23,DIS,DIS,96.12999725341797,96.43000030517578,95.80000305175781,95.97000122070312,88.42414093017578,4996300
2016-08-24,DIS,DIS,96.01000213623047,96.22000122070312,95.51000213623047,95.81999969482422,88.2859115600586,5912500
2016-08-25,DIS,DIS,95.62000274658203,95.81999969482422,95.41000366210938,95.55000305175781,88.03714752197266,4518700
2016-08-26,DIS,DIS,95.66000366210938,96.12999725341797,94.75,95.20999908447266,87.72389221191406,6019600
