ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,1,AAPL,6.039629281935055,6.1268933505233,5.952634000545901
Elastic Net,Advanced,1,ABNB,6.481692918967436,6.5243844535951325,6.47950991542227
Elastic Net,Advanced,1,ACN,5.022386064636313,5.032556918639732,5.1323607062748735
Elastic Net,Advanced,1,ADBE,8.32104706969182,8.167844268555434,8.176874229351212
Elastic Net,Advanced,1,AEP,1.462208672858376,1.4567786987274043,1.4263939903253149
Elastic Net,Advanced,1,AES,0.023031402705908647,0.024022096397293954,0.03038401248753004
Elastic Net,Advanced,1,AFL,1.5157371148177332,1.5384108380379395,1.544093107604464
Elastic Net,Advanced,1,AIG,1.0955123325870375,1.1440178741988516,1.1402316974864544
Elastic Net,Advanced,1,AMZN,8.110064217889661,8.173943247680356,8.178493786252988
Elastic Net,Advanced,1,AOS,1.2232837262880614,1.2446410849137985,1.2510926969683696
Elastic Net,Advanced,1,APA,1.0914953332007744,1.098865631487984,1.0873870783083068
Elastic Net,Advanced,1,APD,3.3238033253562413,3.52516364789408,3.8027649382801285
Elastic Net,Advanced,1,APO,2.9828249426697724,3.0315033423250934,3.0691260837537184
Elastic Net,Advanced,1,AXP,4.7598254939600935,4.452314867584847,4.39406612565079
Elastic Net,Advanced,1,BA,4.956502544847826,4.987731916254156,5.0437476176010385
Elastic Net,Advanced,1,BKNG,5.087312632782282,5.093501690058409,5.197442421694735
Elastic Net,Advanced,1,BKR,1.0676264323935731,1.103261279257822,1.1303198594733943
Elastic Net,Advanced,1,BR,3.8627424740954033,3.8104162391405336,3.7958085503750074
Elastic Net,Advanced,1,CARR,1.4708511682988357,1.4839374597383757,1.4882002346057217
Elastic Net,Advanced,1,CASY,25.2585424315887,26.8431382790904,27.805642652093926
Elastic Net,Advanced,1,CAT,21.64302663815903,21.35454832610473,21.166735463342324
Elastic Net,Advanced,1,CBRE,3.003999010707205,3.1033551003094653,3.149394551817283
Elastic Net,Advanced,1,CEG,6.261781425109134,6.156138780478317,6.371401686512771
Elastic Net,Advanced,1,CHRW,7.239430662978614,7.119105466232412,7.128351696734748
