snapshot_date,company_name,ticker,status,snapshot_file,answer_file,question_count,missing_answers,error
2026-07-17,Alphabet Inc. (Class A),GOOGL,failed,/mnt/primary/finnhub_snapshots/2026-07-17/Alphabet Inc. (Class A)_GOOGL_snapshot.json,,,,LLM request failed after 3 attempts: Error code: 503 - {'error': 'gpt-oss-120b is starting up. Please wait a minute and try again.'}
2026-07-17,AT&T,T,missing_snapshot,,,,,No stored snapshot found for 2026-07-17
2026-07-17,Electronic Arts,EA,missing_snapshot,,,,,No stored snapshot found for 2026-07-17
2026-07-17,Meta Platforms,META,failed,/mnt/primary/finnhub_snapshots/2026-07-17/Meta Platforms_META_snapshot.json,,,,LLM request failed after 3 attempts: Error code: 503 - {'error': 'gpt-oss-120b is starting up. Please wait a minute and try again.'}
2026-07-17,Netflix,NFLX,failed,/mnt/primary/finnhub_snapshots/2026-07-17/Netflix_NFLX_snapshot.json,,,,LLM request failed after 3 attempts: Error code: 503 - {'error': 'gpt-oss-120b is starting up. Please wait a minute and try again.'}
2026-07-17,Omnicom Group,OMC,failed,/mnt/primary/finnhub_snapshots/2026-07-17/Omnicom Group_OMC_snapshot.json,,,,LLM request failed after 3 attempts: Error code: 503 - {'error': 'gpt-oss-120b is starting up. Please wait a minute and try again.'}
2026-07-17,Take-Two Interactive,TTWO,failed,/mnt/primary/finnhub_snapshots/2026-07-17/Take-Two Interactive_TTWO_snapshot.json,,,,LLM request failed after 3 attempts: Error code: 503 - {'error': 'gpt-oss-120b is starting up. Please wait a minute and try again.'}
2026-07-17,Walt Disney Company (The),DIS,missing_snapshot,,,,,No stored snapshot found for 2026-07-17
2026-07-17,Warner Bros. Discovery,WBD,skipped_existing_answer,,/mnt/primary/answers/2026-07-17/Warner Bros. Discovery_answer_2026-07-17.txt,,,
2026-07-17,Airbnb,ABNB,skipped_existing_answer,,/mnt/primary/answers/2026-07-17/Airbnb_answer_2026-07-17.txt,,,
2026-07-17,Amazon,AMZN,skipped_existing_answer,,/mnt/primary/answers/2026-07-17/Amazon_answer_2026-07-17.txt,,,
2026-07-17,Booking Holdings,BKNG,skipped_existing_answer,,/mnt/primary/answers/2026-07-17/Booking Holdings_answer_2026-07-17.txt,,,
2026-07-17,DoorDash,DASH,skipped_existing_answer,,/mnt/primary/answers/2026-07-17/DoorDash_answer_2026-07-17.txt,,,
2026-07-17,"Nike, Inc.",NKE,skipped_existing_answer,,"/mnt/primary/answers/2026-07-17/Nike, Inc_answer_2026-07-17.txt",,,
2026-07-17,Ralph Lauren Corporation,RL,skipped_existing_answer,,/mnt/primary/answers/2026-07-17/Ralph Lauren Corporation_answer_2026-07-17.txt,,,
